Console,GameName,Review,Score
PC,Baldur's Gate 3 Early Access Review,Early Access,6
NS,Control: Ultimate Edition Cloud Version Review,Good,7
"XONE, PC, PS4",Doom Eternal: The Ancient Gods Part 1 Review,Good,7
"XONE, PC, PS4",Watch Dogs: Legion Review,Great,8
PC,Ring Of Pain Review,Great,8
NS,Pikmin 3 Deluxe Review,Great,8
"PC, XONE, PS4",Ghostrunner Review,Good,7
"PC, NS",Disc Room Review – Getting Buzzed,Great,8
"XONE, PS4",NHL 21 Review,Superb,9
PC,Noita Review,Good,7
PC,Amnesia: Rebirth Review,Great,8
"PC, PS4",Genshin Impact Review – Direct Hit,Good,7
"PC, XONE, PS4, NS",Ikenfell Review,Fair,6
NS,Ring Fit Adventure Review: One Year Later,Superb,9
"XONE, PC, PS4",Star Wars: Squadrons Review – Catch Me If You Can,Good,7
"NS, NS",Mario Kart Live: Home Circuit Review – Making Tracks,Good,7
PC,I Am Dead Review – Staying Alive,Good,7
PS4,FIFA 21 Review – A Goal Bonanza,Great,8
NS,Super Mario Bros. 35 Review – Mario Royale,Good,7
PC,The Solitaire Conspiracy Review – Jack Of All Trades,Good,7
"XONE, PS4",Crash Bandicoot 4 Review – Platformer's Delight,Great,8
NS,Kirby Fighters 2 Review – 2 Kirby 2 Furious,Fair,6
PC,Pendragon Review – Endless Legends,Fair,6
PC,Serious Sam 4 Review – The Fourth Encounter,Good,7
PS4,NBA 2K21 Review – Ball Another Day,Fair,6
PC,Crusader Kings 3 Review – Pass the Duchy,Great,8
PS4,Spelunky 2 Review –  Snakes On A 2D Plane,Great,8
PC,Mafia: Definitive Edition Review – An Offer You Could Probably Refuse,Fair,6
PC,Surgeon Simulator 2 Review – Surgical Imprecision,Fair,6
"PC, NS","Hades Review – The Long, Hard Road Out of Hell",Superb,9
PS4,"13 Sentinels: Aegis Rim Review – Wow, Cool Robot!",Superb,9
NS,Super Mario 3D All-Stars Review – Shoot For The Stars,Great,8
PC,Road To Guangdong Review – Are We There Yet?,Terrible,2
"PC, PS4, XONE, NS",Vampire: The Masquerade - Shadows Of New York Review,Fair,6
PS4,"Othercide Review – Mother, May I",Great,8
PC,Marvel's Avengers Review – Infinity War,Good,7
"XONE, PC",Tell Me Why Review,Good,7
NS,Moon Review – The Bright Side,Great,8
PC,Star Renegades Review – The Heat Of The Moment,Great,8
NS,The Last Campfire Review – One Step At A Time,Great,8
"PS4, XONE",Tony Hawk's Pro Skater 1 + 2 Review – I'm A Superman,Superb,9
"PC, NS",Paradise Killer Review,Superb,9
"PC, PS4, NS",Evergate Review – Ever Great,Great,8
PS4,Madden 21 Review – Feels More Like An Update,Fair,6
"PC, NS",A Short Hike Review,Superb,9
"PS4, PC, XONE",Project Cars 3 Review – Into The Horizon,Good,7
PC,Control AWE DLC Review – Haunted Oldest House,Fair,6
PS4,Windbound Review – Against The Wind,Mediocre,5
PC,Thousand Threads Review -- Post Secrets,Mediocre,5
PC,Spiritfarer Review – Purrrgatory,Superb,9
"PC, NS",No Straight Roads Review – Bangers And Smash,Good,7
PC,Microsoft Flight Simulator Review – Max Altitude,Superb,9
IOS,Next Stop Nowhere Review – Bugs On The Windshield,Bad,3
PS4,PGA Tour 2K21 Review – For Purists And Newcomers Alike,Great,8
PC,Dead By Daylight Review (2020) – Toying With Terror,Superb,9
PC,Mortal Shell Review – Stone Souls,Great,8
PC,Skater XL Review – Too Little To Skate,Mediocre,5
PC,Battletoads Review – Middle-Aged Cartoon Alien Toads,Fair,6
"PC, XONE",Hyper Scape Review – 'Scape From The City,Fair,6
PC,A Total War Saga: Troy Review - My Kingdom For A Centaur,Good,7
PC,Risk Of Rain 2 Review,Great,8
"PC, PS4",Fall Guys: Ultimate Knockout Review - Major Chaos,Good,7
PC,Skully Review,Mediocre,5
PC,Umurangi Generation Review - Cyberpunk Snap,Superb,9
PC,Littlewood Review - Big Heart,Great,8
PS4,Horizon Zero Dawn Review,Superb,9
"XONE, PC",Grounded Early Access Review - Little Acorns,Early Access,6
PC,Desperados 3 Review - Revolvers And Redos,Superb,9
PC,Rock Of Ages 3: Make & Break Review - Let's Roll,Good,7
"PC, IOS",Beyond A Steel Sky Review - Foster The Future,Mediocre,5
NS,Panzer Paladin Review,Great,8
XONE,Maid Of Sker Review - Backtracking Trip,Poor,4
XONE,"Destroy All Humans Review - Two Arms, Two Legs, And An Attitude",Fair,6
"PC, XONE, NS",Carrion Review,Good,7
PC,Necrobarista Review,Good,7
"XONE, PC",Ooblets Early Access Review,Early Access,7
PC,Fight Crab Review - Battle Of The Bisque,Fair,6
PC,Rocket Arena Review,Fair,6
"PC, PS4, NS, XONE",Superliminal Review - We Need To Go Deeper,Great,8
NS,Paper Mario: The Origami King Review,Great,8
NS,Bloodstained: Curse Of The Moon 2 Review,Great,8
PS4,Ghost Of Tsushima Review - You Khan Do It,Good,7
NS,Story Of Seasons: Friends Of Mineral Town Review - When The Seasons Change,Mediocre,5
PS4,Superhot: Mind Control Delete Review - Hack 'N Slash,Good,7
PS4,Death Stranding Review,Superb,9
PS4,CrossCode Review - A Lot Of Ambition,Fair,6
NS,Deadly Premonition 2: A Blessing In Disguise Review,Mediocre,5
PS4,Marvel's Iron Man VR Review - Hot Hands,Fair,6
NS,Ninjala Review - Gum Up The Works,Fair,6
NS,Mr. Driller Drill Land Review,Great,8
PC,West Of Dead Review - Rogue-lite Cowboy,Mediocre,5
NS,Pokemon Sword And Shield Isle Of Armor DLC Review,Great,8
IOS,Slay The Spire Review - Trend Setter,Superb,9
NS,Death Come True Review - Hotel Hell,Fair,6
PC,Crucible Review,Mediocre,5
PS4,The Last Of Us Part 2 Spoiler Review - Dog Eat Dog,Great,8
PS4,The Last Of Us Part 2 Spoiler-Free Review,Great,8
PS4,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated Review - Expired Nostalgia,Terrible,2
PC,Valorant Review - A Valiant Effort,Good,7
PS4,Skelattack Review - Bone-Dry,Mediocre,5
PS4,Project Warlock Review - Wizard's First Doom,Fair,6
PC,Disintegration Review - First-Person Strategy,Good,7
NS,XCOM 2 Collection For Nintendo Switch Review - Close Encounters of the Bugged Kind,Fair,6
NS,The Outer Worlds For Nintendo Switch Review - Cosmic Haze,Fair,6
NS,Liberated Review,Poor,4
PC,Resolutiion Review - Do The Right Thing,Fair,6
PC,Those Who Remain Review - Little Staying Power,Bad,3
PC,Sea Of Thieves Review (2020) - A Voyage Finally Worth Taking,Great,8
NS,Xenoblade Chronicles: Definitive Edition Review,Superb,9
XONE,"Minecraft Dungeons Review - Mobsters, Inc.",Good,7
PS4,"Maneater Review - Fish Are Food, Not Friends",Good,7
PS4,Mortal Kombat 11: Aftermath Review - Friendship Never Ends,Good,7
PC,If Found Review - Call Me By My Name,Superb,9
NS,What The Golf Switch Review - A Swing And A Hit,Superb,9
"PC, IOS",What The Golf Review,Great,8
NS,The Wonderful 101 Remastered Review - Mob Mentality,Poor,4
WIIU,The Wonderful 101 Review,Great,8
NS,Hatsune Miku: Project DIVA MegaMix Review - One More Time,Great,8
PC,Rainbow Six Siege Review (2020) - Breaches And Cream,Essential,1
